Speaker|Party|Speech ID|Gendered Terms
Vizepräsidentin Dagmar Ziegler||102|
Daniela Kluckert|FDP|103|[Präsidentin] geehrte Frau Präsidentin Meine Damen; [Minister] und Herren Minister Scheuer wird; [Minister] hat sich Minister Scheuer dann; [Kollegen] – die Kollegen haben es; [Funktionären] an ihren Funktionären in Aufsichtsratsposten
Vizepräsidentin Dagmar Ziegler||104|[Wagner] jetzt Andreas Wagner von der
Andreas Wagner|DIE LINKE|105|[Präsidentin] geehrte Frau Präsidentin Verehrte Kolleginnen; [Kolleginnen] Präsidentin Verehrte Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Liebe Bürgerinnen; [Mietwagenanbieter] daher ab Mietwagenanbieter sind eine; [Taxigewerbe] stark getroffene Taxigewerbe und gefährden; [Verbraucher] Verbraucherinnen und Verbraucher werden das; [Mietwagengewerbe] Standards im Mietwagengewerbe festzuschreiben Unser; [Taxigewerbe] und Co Taxigewerbe schützen und
Vizepräsidentin Dagmar Ziegler||106|
Stefan Gelbhaar|BÜNDNIS 90/DIE GRÜNEN|107|[Präsidentin] geehrte Frau Präsidentin Sehr geehrte; [Taxigewerbe] es das Taxigewerbe noch geben; [Mobilitätsanbieter] die beherrschenden Mobilitätsanbieter Werden unsere; [Taxigewerbe] etwa im Taxigewerbe betrachten mit; [Verkehrsminister] und Herren Verkehrsminister Scheuer stellte; [Taxifahrerinnen] absurd Tausende Taxifahrerinnen und Taxifahrer; [Taxifahrer] Taxifahrerinnen und Taxifahrer protestierten wütend; [Verkehrsminister] Herren Der Verkehrsminister wusste nicht; [Fahrgäste] Für die Fahrgäste riesige Lücken
Vizepräsidentin Dagmar Ziegler||108|
Michael Donth|CDU/CSU|109|[Präsidentin] geehrte Frau Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Der öffentliche; [Kollege] Mobilität mein Kollege Detlef Müller; [Müller] Kollege Detlef Müller hat es; [Mitarbeiter] und ihre Mitarbeiter sorgen täglich; [Verkehrsminister] auch unserem Verkehrsminister Es ist; [Verkehrspolitiker] Erfahrung als Verkehrspolitiker hätte es; [Mitarbeiter] und deren Mitarbeiter angewiesen sind; [Mitbewerbern] mit vielen Mitbewerbern gibt haben; [Kolleginnen] das liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen wollen wir; [Vertreter] an dem Vertreter – das
Vizepräsidentin Dagmar Ziegler||110|
Präsident Dr. Wolfgang Schäuble||111|[Kolleginnen] – Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen entscheiden Sie
Susanne Ferschl|DIE LINKE|112|[Präsidentin] geehrte Frau Präsidentin Sehr verehrte; [Kolleginnen] Sehr verehrte Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen FFP2Masken bieten; [Gesundheitsminister] fordert den Gesundheitsminister auf die; [Sprecherin] Aussage der Sprecherin des Bundesministeriums
Vizepräsidentin Dagmar Ziegler||113|
